A,B,E,alpha,beta,loss,r_squared,kaplan,data,loss_name,extrap_pred,extrap_loss
1437.597074638401,9950.276141142727,2.491327910346117,0.4206416093666477,0.4687899050491425,1.5130144899891891e-06,0.9989359161632114,False,smollm-corpus,eval/c4_val/CrossEntropyLoss,2.729310090083975,2.642553806304932
25.168939262390317,65.73129970744787,0.0008849265395158955,0.11772357610534413,0.1702869267122169,1.562495251459514e-05,0.9701587535318555,False,smollm-corpus,eval/downstream_ce_loss/arc_challenge_test_ce_loss,2.8964020090176783,2.836977481842041
33.27098073383463,186.53905218622188,0.01669666483764946,0.1264994809799035,0.22080376433186524,2.181378660593047e-05,0.9573882687258757,False,smollm-corpus,eval/downstream_ce_loss/arc_easy_test_ce_loss,2.904075791807372,2.706071615219116
672048609.2087054,21543134865.7771,1.871760744812452,1.149273499246623,1.1597433655483156,9.5330578480405e-05,0.8556709921000448,False,smollm-corpus,eval/downstream_ce_loss/boolq_test_ce_loss,1.887811642009127,4.256070613861084
2830.279444001197,12640.533601492145,2.099612894322889,0.4595936913111745,0.47938613607933794,1.970800582928246e-06,0.9985314221750999,False,smollm-corpus,eval/downstream_ce_loss/hellaswag_test_ce_loss,2.3125145927286246,2.2464566230773926
183.26376971113902,1579.3706557899718,2.53741185403666,0.284124437494398,0.36671532137637153,1.1378103445333573e-05,0.9769961655339141,False,smollm-corpus,eval/downstream_ce_loss/mmlu_humanities_test_ce_loss,3.08692274260235,2.9045870304107666
277.252003760315,1016.7932744935233,1.6414593686809422,0.2871389100243734,0.31978089155295325,9.73908198556837e-06,0.9921393423275501,False,smollm-corpus,eval/downstream_ce_loss/mmlu_other_test_ce_loss,2.5380982486254546,2.452460289001465
28.81693430614823,107.02944150244376,0.1707804395508156,0.12827336255166616,0.1993671638565619,1.3504107993672918e-05,0.9814658604459088,False,smollm-corpus,eval/downstream_ce_loss/mmlu_social_sciences_test_ce_loss,2.689432859640434,2.526923418045044
583.6666092273578,1707.7412788139993,2.1264096602123272,0.35550692309848314,0.3659908380604301,1.4410525939997351e-05,0.9774205913667924,False,smollm-corpus,eval/downstream_ce_loss/mmlu_stem_test_ce_loss,2.5741036419591556,2.2851953506469727
955.8235002009675,25706.043192346293,4.468985157796694,0.395873452224433,0.519253536485006,3.974627461355151e-06,0.9924708477865397,False,smollm-corpus,eval/downstream_ce_loss/openbook_qa_test_ce_loss,4.703094752413847,4.527759552001953
849.6247831939181,6039.31290283353,2.3658328546386014,0.3753336402514768,0.4332395245607907,4.688094112047521e-06,0.9964328697470557,False,smollm-corpus,eval/downstream_ce_loss/piqa_test_ce_loss,2.732339686108486,2.720210075378418
18.362088691271452,57.57954028310011,0.6623125748525232,0.10439610091908326,0.1684899424731928,3.303463902808169e-05,0.8318229679396323,False,smollm-corpus,eval/downstream_ce_loss/sciq_test_ce_loss,3.430692850957519,2.641565322875977
23042.594531882005,1505863.3585489718,2.896807486618969,0.5901697736476411,0.7248417223968363,3.8021055755614757e-06,0.9963484760659528,False,smollm-corpus,eval/downstream_ce_loss/winogrande_test_ce_loss,2.9786316669963346,2.842735767364502
1359.2592975228624,4916.664502610866,2.3828159529059794,0.41596544960387966,0.4307125982698554,1.5575977592679148e-06,0.9989357523903151,False,smollm-corpus,eval/fineweb_100b_val/CrossEntropyLoss,2.652713624318154,2.5680596828460693
