0	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step13900.pt --dont_inject_mx_ops --wandb_name no_mx_inject_step13900
1	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step13900.pt --bump_up_overflow_exponent --wandb_name bump_exp_step13900
2	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step13900.pt --dont_quantize_layernorm --wandb_name no_ln_q_step13900
3	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step13900.pt --a_elem_format bfloat16 --a_elem_format_bp_ex fp8_e4m3 --a_elem_format_bp_os fp8_e4m3 --use_custom_cuda --wandb_name bf16_act_step13900
4	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step13900.pt --a_elem_format bfloat16 --a_elem_format_bp_ex bfloat16 --a_elem_format_bp_os bfloat16 --use_custom_cuda --wandb_name bf16_act_all_step13900
5	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step13900.pt --dont_quantize_backprop --wandb_name no_bp_quant_step13900
6	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step13900.pt --dont_quantize_gelu --wandb_name no_gelu_quant_step13900
7	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step13900.pt --w_elem_format bfloat16 --wandb_name bf16_weight_step13900
8	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step14080.pt --dont_inject_mx_ops --wandb_name no_mx_inject_step14080
9	python /n/holylfs06/LABS/kempner_dev/Lab/nikhilanand/systems-scaling-anon/systems-scaling/olmo/synthetic/student_teacher_v3.py --run_intervention --depth 4 --width 512 --batch 2048 --lr_max 6e-4 --wandb_project mx_intervention --store_full_gradients --log_weight_clipping --val_every 100 --steps_total 9000 --intervention_checkpoint /n/netscratch/kempner_dev/Lab/nikhilanand/eps_sweeps_depth_width/a_fmtfp8_e4m3_a_bp_exfp8_e4m3_a_bp_osfp8_e4m3_actgelu_bs2048_L4_lr6e-04_s1337_fmtfp8_e4m3_bpfp8_e4m3_D512_fbd5/checkpoints/ckpt_mx_step14080.pt --bump_up_overflow_exponent --wandb_name bump_exp_step14080
